dataset,ir,rho,seed,ece,brier,auc,pr_auc,f1
phoneme,2.41,0.5,5,0.02639161461789189,0.07303126483125563,0.9587439070388687,0.9045398999638533,0.8357473035439137
phoneme,2.41,0.5,6,0.03253967100242459,0.07517503314268945,0.9564213320192333,0.9032801105916872,0.8333333333333334
phoneme,2.41,0.5,7,0.03478074532728271,0.0792154910880721,0.9545382032543794,0.8958437035309801,0.8164014687882497
phoneme,2.41,0.5,8,0.030603072339156004,0.07545121137876323,0.9555488800973948,0.9033924438802092,0.8329238329238329
phoneme,2.41,0.5,9,0.03183969055647654,0.07702717480932295,0.9553645802024922,0.9001164690237873,0.8258495145631068
phoneme,2.41,0.75,0,0.03467359571893008,0.07581279027420612,0.9583142042373121,0.9079364949824691,0.8290468986384266
phoneme,2.41,0.75,1,0.03259613472206397,0.07516977748118149,0.9590986347935744,0.9134329670190434,0.8294762484774665
phoneme,2.41,0.75,2,0.035952616460458095,0.07523349798192404,0.9578859877252306,0.9056726250602076,0.8332829046898639
phoneme,2.41,0.75,3,0.03809322665788507,0.07852028465236738,0.956015079562727,0.9058072952115394,0.8258646616541353
phoneme,2.41,0.75,4,0.03476024945940071,0.07713904278236845,0.956406964554308,0.9054656877706007,0.8264965056213917
phoneme,2.41,0.75,5,0.02954824978235293,0.07470584565178007,0.9589415835390469,0.9056875823652032,0.8327272727272728
phoneme,2.41,0.75,6,0.034977304717352185,0.07444926442643507,0.9585932963720665,0.9082102461255446,0.8380493678506924
phoneme,2.41,0.75,7,0.037083215144510906,0.07716036701637176,0.9569187435635407,0.9031701109794914,0.8303598427577865
phoneme,2.41,0.75,8,0.038317549446565125,0.07669331878418022,0.9569327807419161,0.905923198666427,0.8300633866586176
phoneme,2.41,0.75,9,0.03462831763948709,0.07741392246353203,0.956733122522438,0.9017491431327677,0.8265460030165912
phoneme,2.41,1.0,0,0.03943664569638359,0.07806194675411628,0.9570032969203421,0.9032074012971902,0.8273381294964028
phoneme,2.41,1.0,1,0.04053219969871795,0.0775970106453273,0.9573165737130219,0.90956828318339,0.8280216476247745
phoneme,2.41,1.0,2,0.03792173485361601,0.07662441720475646,0.9580174417721327,0.9068682629736328,0.8289315726290516
phoneme,2.41,1.0,3,0.04150273626030478,0.07928791625180379,0.9552185935473898,0.9057036828057958,0.8203898050974513
phoneme,2.41,1.0,4,0.03854075079840081,0.07783232297316091,0.9565917598790359,0.9038489390924628,0.8295896975142258
phoneme,2.41,1.0,5,0.03921266341580236,0.07827649291612195,0.9567598757329884,0.9020216859273796,0.8274415817855003
phoneme,2.41,1.0,6,0.041834776388853065,0.0771958874644237,0.9577829383216292,0.9058542012821369,0.8355714712026261
phoneme,2.41,1.0,7,0.03999358127527687,0.07958053410921376,0.9552489799099904,0.8941963273578697,0.8254252461951657
phoneme,2.41,1.0,8,0.040238463727172054,0.07630837076506784,0.9576359608068767,0.9076641980892969,0.8342342342342343
phoneme,2.41,1.0,9,0.03926034941347414,0.07878349795327495,0.956011446410677,0.8991548888540181,0.826722338204593
adult,3.18,0.0,0,0.03372152659715628,0.09721790266109603,0.9164972193816441,0.7988105493529211,0.6799775028121485
adult,3.18,0.0,1,0.03545995322905244,0.09723255533812236,0.9161282304242664,0.7995589793445785,0.6861971830985916
adult,3.18,0.0,2,0.036945006397390914,0.09763343685268548,0.9166309483638698,0.7998238806621298,0.6884604638167086
adult,3.18,0.0,3,0.034050630359699116,0.09713178333765587,0.9162556915312419,0.8006630803592164,0.6828032648466085
adult,3.18,0.0,4,0.0316079124769773,0.09704027806227124,0.9163487651856451,0.8005614975499933,0.6813063063063063
adult,3.18,0.0,5,0.037592823122471836,0.098460192480027,0.9137815980334328,0.7954921797591087,0.6769662921348315
adult,3.18,0.0,6,0.03252490302872115,0.09577491234739637,0.9179942112308304,0.8042026540570247,0.6922209695603156
adult,3.18,0.0,7,0.03509044505741719,0.09644668181286432,0.9167578084417118,0.8020496765805387,0.6867435969603152
adult,3.18,0.0,8,0.035172161057483796,0.09777414369008047,0.915484785806096,0.7968545510637403,0.6789458770189856
adult,3.18,0.0,9,0.03301743736904999,0.09640522611509533,0.9172268687498337,0.8024128382621715,0.6871476888387824
adult,3.18,0.25,0,0.031730161287277965,0.09644388015671983,0.9167593539451981,0.800813814654814,0.6877271456527817
adult,3.18,0.25,1,0.03507560714852368,0.09779128221578158,0.9158348852764175,0.7963272124863596,0.6857460405668241
adult,3.18,0.25,2,0.03613596636850208,0.09755014876705438,0.9162162811923388,0.7990686513932438,0.6861761426978819
adult,3.18,0.25,3,0.03232883403369005,0.09579585763777632,0.9173622720275031,0.8028545703227726,0.6932136848008974
adult,3.18,0.25,4,0.03499334664962306,0.09794696485099101,0.9154528454007105,0.7976859367235151,0.6813739179000279
adult,3.18,0.25,5,0.03350815800979048,0.09770470477870405,0.9152138933894522,0.7990547103464472,0.6817294281729428
adult,3.18,0.25,6,0.03398331275278817,0.09681933436396269,0.9164428262450532,0.8005063760026918,0.6872909698996655
adult,3.18,0.25,7,0.03172081821835958,0.09580845743799583,0.9173028989352339,0.804189100936891,0.6883773161145423
adult,3.18,0.25,8,0.03254650635856553,0.09729377974021158,0.9161375034451847,0.7976740161705659,0.6812939521800281
adult,3.18,0.25,9,0.03132565499755945,0.09668681938540427,0.9162011266720416,0.8007329330501842,0.6870443073471677
adult,3.18,0.5,0,0.03349521816211705,0.09837540477980188,0.914533013242389,0.7937602874004236,0.6801120448179272
adult,3.18,0.5,1,0.03741834807469907,0.10070603305699839,0.9112193249755938,0.7849878631845661,0.674457429048414
adult,3.18,0.5,2,0.03343707462945869,0.0986947275269721,0.9149400387577931,0.7925451876842148,0.6873270614277809
adult,3.18,0.5,3,0.03336044573370256,0.09821080560517384,0.9137825425077855,0.7947868327653741,0.6767761864644762
adult,3.18,0.5,4,0.03478993647709797,0.09956356173867527,0.9126317434395523,0.7907903949684107,0.6796984082658475
adult,3.18,0.5,5,0.03510745306536626,0.1002989721487719,0.9111325621270936,0.7891121644371332,0.6761824797089281
adult,3.18,0.5,6,0.03448026080597755,0.09878470689444277,0.9135396408765066,0.7946947291009023,0.6800334168755221
adult,3.18,0.5,7,0.033456716926567286,0.09753612562933019,0.9150681008939021,0.7956064513934339,0.6798771978788725
adult,3.18,0.5,8,0.032692326698545576,0.0995369434420619,0.9125925048232587,0.7896373417577678,0.6758272574312956
adult,3.18,0.5,9,0.03344054641685952,0.09857499133147637,0.9137534355254584,0.7940442977097364,0.6787023977433004
adult,3.18,0.75,0,0.032821772271307115,0.09902773276919974,0.9135449642774042,0.7897233589455085,0.6796875
adult,3.18,0.75,1,0.0371731844544987,0.10124804796796709,0.9114219147242694,0.7845438997290318,0.6722083679689664
adult,3.18,0.75,2,0.03451302975841917,0.09968868845628222,0.9130196218839859,0.790096115583564,0.6822742474916388
adult,3.18,0.75,3,0.03368662618621071,0.09952781139917453,0.9112039558020346,0.7894732840328245,0.6763311959855032
adult,3.18,0.75,4,0.03406924415115785,0.0991190113411464,0.9129507611175365,0.7916379338504709,0.674908682214105
adult,3.18,0.75,5,0.03445746441106127,0.10056762386896075,0.9105526119438226,0.7867816605915678,0.6757660167130919
adult,3.18,0.75,6,0.0309253460668103,0.09908716181604137,0.912321183100091,0.7911896963079744,0.6768973214285714
adult,3.18,0.75,7,0.037982649871726705,0.09987707418576046,0.9118683076479239,0.7890166811469738,0.6717214265655714
adult,3.18,0.75,8,0.0339989228930582,0.10007029738711815,0.9114098512109449,0.7891495293199637,0.6784412671712924
adult,3.18,0.75,9,0.03362206228551361,0.09937879388357074,0.9126604211153555,0.7918510795614828,0.6797532249018509
adult,3.18,1.0,0,0.033469671163770934,0.09974835549619682,0.9121328463280126,0.7891503395945054,0.6761426978818283
adult,3.18,1.0,1,0.0350233112940955,0.10036548743448498,0.9112844078446323,0.7876057325512444,0.6729647124201167
adult,3.18,1.0,2,0.03791993160929747,0.10028781376672292,0.912508360744555,0.7885838295432286,0.6794764689501531
adult,3.18,1.0,3,0.03521912606522355,0.09932914979148323,0.9125610795857021,0.7909814522722741,0.6825484764542936
adult,3.18,1.0,4,0.032574931658941916,0.0995688827020531,0.9130616939233379,0.7891838495416388,0.68285873813512
adult,3.18,1.0,5,0.033412576560310346,0.0987520269294032,0.9133589886912075,0.7926534000267499,0.679622431982232
adult,3.18,1.0,6,0.03243226464115768,0.09847331238869343,0.9142759015651657,0.7960706069530905,0.6831710709318498
adult,3.18,1.0,7,0.03185834576132705,0.09794986281457022,0.9137925453497947,0.796180818582324,0.6834592779177162
adult,3.18,1.0,8,0.035691109901383404,0.10014950720977038,0.9120371968344655,0.7883262984383584,0.6770775237032906
adult,3.18,1.0,9,0.030603521916739724,0.09816467890331396,0.9144779332153599,0.7942736156997131,0.6816143497757847
yeast_ml8,70.09,0.0,0,0.013961218437826226,0.014061812978042746,0.855187479943719,0.08352540531409762,0.0
yeast_ml8,70.09,0.0,1,0.014328019304673773,0.014174498538338345,0.8549036064278838,0.06406421763134626,0.0
yeast_ml8,70.09,0.0,2,0.014377641729774772,0.014231349709546726,0.841141912073264,0.08544221401947885,0.0
yeast_ml8,70.09,0.0,3,0.013980991513207112,0.014044933122595,0.8802670879514206,0.09517993102289685,0.0
yeast_ml8,70.09,0.0,4,0.014643419067195204,0.014398659624616667,0.8604082841697317,0.07349896393627513,0.0
yeast_ml8,70.09,0.0,5,0.013792503793611598,0.01374341870075553,0.8658018809706006,0.12966321868173766,0.0
yeast_ml8,70.09,0.0,6,0.0143507496778154,0.014458121829510655,0.819468786255585,0.05163682218492931,0.0
yeast_ml8,70.09,0.0,7,0.01454935302981776,0.01441631823546792,0.8860186122287774,0.07716546350083188,0.0
yeast_ml8,70.09,0.0,8,0.014516321918428061,0.014261327929407163,0.865172422305053,0.06984127680985103,0.0
yeast_ml8,70.09,0.0,9,0.014575690176883802,0.014381891979870836,0.8876724840166869,0.08147324470606425,0.0
yeast_ml8,70.09,0.25,0,0.015622902099637445,0.014879690293959264,0.8702451186097603,0.11959838993797853,0.0975609756097561
yeast_ml8,70.09,0.25,1,0.015891232217867073,0.015256127079619163,0.8641603515094666,0.12260309804725646,0.09090909090909091
yeast_ml8,70.09,0.25,2,0.015928752249405133,0.015846379170972445,0.8983362543506701,0.09529284115082919,0.04878048780487805
yeast_ml8,70.09,0.25,3,0.015130288020951562,0.015231841941363854,0.8585939621337415,0.10951660025004356,0.09302325581395349
yeast_ml8,70.09,0.25,4,0.01670496828313275,0.016028306672488113,0.8915603169509517,0.1032054276768386,0.045454545454545456
yeast_ml8,70.09,0.25,5,0.016287935722844413,0.01572998075858678,0.8866604132211003,0.12971496891754122,0.045454545454545456
yeast_ml8,70.09,0.25,6,0.01592764620899141,0.01565993821319058,0.8754042112018958,0.07492122651138504,0.04878048780487805
yeast_ml8,70.09,0.25,7,0.016700586535483918,0.01682357324883246,0.8817975364715755,0.086715856892124,0.044444444444444446
yeast_ml8,70.09,0.25,8,0.015932962130313904,0.015500427852769621,0.8702574609365357,0.10102531806078023,0.047619047619047616
yeast_ml8,70.09,0.25,9,0.015585395136235428,0.014948194946464653,0.8638517933400803,0.11237699028961645,0.09302325581395349
yeast_ml8,70.09,0.5,0,0.01494235235187945,0.01498952346667014,0.8910542815531584,0.12909858419294953,0.09090909090909091
yeast_ml8,70.09,0.5,1,0.016827116622468524,0.015827123088012023,0.8786625854706129,0.11924844931525563,0.044444444444444446
yeast_ml8,70.09,0.5,2,0.01603979494956593,0.0159379638475606,0.9023721952062402,0.10447091166625515,0.04878048780487805
yeast_ml8,70.09,0.5,3,0.015943095364349274,0.015629297773084635,0.855360272518575,0.11950177808289543,0.09302325581395349
yeast_ml8,70.09,0.5,4,0.018091136787685473,0.01705939388690405,0.88720347559922,0.08764073754491207,0.0425531914893617
yeast_ml8,70.09,0.5,5,0.014164826773572435,0.01441445406650021,0.8886105008516205,0.153133430094173,0.14634146341463414
yeast_ml8,70.09,0.5,6,0.01605532091159546,0.015486096090182599,0.8643208017575473,0.08248463834686158,0.05
yeast_ml8,70.09,0.5,7,0.017078403743310717,0.017175080945578614,0.893103107797882,0.09494474931819671,0.08333333333333333
yeast_ml8,70.09,0.5,8,0.015983615495811756,0.015522659688993839,0.8871541062921182,0.11320187674870646,0.09302325581395349
yeast_ml8,70.09,0.5,9,0.0174534802663396,0.016542500019132027,0.8752561032805906,0.10382519538040634,0.08695652173913043
yeast_ml8,70.09,0.75,0,0.014287540492767828,0.014849912544921899,0.8909555429389548,0.13482632723522442,0.13043478260869565
yeast_ml8,70.09,0.75,1,0.01739385329822163,0.016488899317514287,0.8643948557182,0.11877550018618563,0.04081632653061224
yeast_ml8,70.09,0.75,2,0.0171173346775918,0.01649911643086652,0.8980276961812841,0.1044748610347242,0.045454545454545456
yeast_ml8,70.09,0.75,3,0.01665122877776056,0.016031825222192365,0.8808965466169683,0.12351624508520953,0.08888888888888889
yeast_ml8,70.09,0.75,4,0.018568005768708252,0.018024752046394518,0.8887215817925995,0.09146360596687186,0.07692307692307693
yeast_ml8,70.09,0.75,5,0.014675920471925136,0.014727562398930165,0.8929796845301277,0.13645210267785612,0.0975609756097561
yeast_ml8,70.09,0.75,6,0.016035509069450078,0.015749751880265766,0.8638271086865295,0.07678013219998472,0.05
yeast_ml8,70.09,0.75,7,0.01725793786020853,0.017307323074187458,0.895435807558441,0.10286796385621404,0.08
yeast_ml8,70.09,0.75,8,0.015292965322606723,0.015361911607195832,0.8836612278146676,0.13530752023322387,0.09302325581395349
yeast_ml8,70.09,0.75,9,0.01644797265308099,0.016700329159428248,0.8943990521093037,0.11420183133062614,0.08695652173913043
yeast_ml8,70.09,1.0,0,0.014932517574892749,0.015114019881428385,0.8912517587815655,0.12550465374529846,0.09090909090909091
yeast_ml8,70.09,1.0,1,0.016547033857118462,0.01643007500524573,0.8834020389523833,0.12430568318445791,0.12244897959183673
yeast_ml8,70.09,1.0,2,0.016217351873455674,0.016497183792890478,0.9066920095776455,0.09639264044380037,0.045454545454545456
yeast_ml8,70.09,1.0,3,0.01706346089761938,0.015892467053157958,0.8726148453506455,0.12183566928138866,0.13043478260869565
yeast_ml8,70.09,1.0,4,0.017662418197281593,0.017429699504504986,0.8720100713386487,0.097848827538006,0.07692307692307693
yeast_ml8,70.09,1.0,5,0.014448386179562185,0.015519381695302707,0.8869566290637111,0.13439158653146507,0.047619047619047616
yeast_ml8,70.09,1.0,6,0.017303147397279974,0.016358898171866854,0.8763298857100541,0.07090604453205437,0.046511627906976744
yeast_ml8,70.09,1.0,7,0.01790317366967145,0.016810135646347014,0.8925847300733134,0.09814302053294674,0.0851063829787234
yeast_ml8,70.09,1.0,8,0.01622960681351293,0.016044397198115554,0.8966947248895362,0.13033851443055305,0.08888888888888889
yeast_ml8,70.09,1.0,9,0.01766290745932766,0.017025142760867848,0.8864629359926934,0.10626537797437773,0.08333333333333333
